Date,Open,High,Low,Close,Parsed_Date,Day
03-03-2025,"21,005.30","21,121.00","20,316.80","20,468.30",2025-03-03 00:00:00,Monday
02-28-2025,"20,649.50","20,944.30","20,460.50","20,919.50",2025-02-28 00:00:00,Friday
02-27-2025,"21,249.00","21,386.50","20,583.30","20,605.80",2025-02-27 00:00:00,Thursday
02-26-2025,"21,230.50","21,409.30","21,048.80","21,187.00",2025-02-26 00:00:00,Wednesday
02-25-2025,"21,442.50","21,453.80","20,990.00","21,149.00",2025-02-25 00:00:00,Tuesday
02-24-2025,"21,700.80","21,813.00","21,407.50","21,420.30",2025-02-24 00:00:00,Monday
02-21-2025,"22,136.00","22,245.50","21,652.80","21,679.30",2025-02-21 00:00:00,Friday
02-20-2025,"22,213.00","22,235.50","21,951.00","22,141.80",2025-02-20 00:00:00,Thursday
02-19-2025,"22,224.50","22,299.80","22,118.00","22,250.50",2025-02-19 00:00:00,Wednesday
02-18-2025,"22,224.80","22,319.80","22,102.80","22,232.30",2025-02-18 00:00:00,Tuesday
02-14-2025,"22,071.00","22,225.00","22,042.50","22,196.30",2025-02-14 00:00:00,Friday
02-13-2025,"21,861.30","22,124.00","21,753.00","22,113.30",2025-02-13 00:00:00,Thursday
02-12-2025,"21,794.30","21,862.50","21,510.80","21,804.80",2025-02-12 00:00:00,Wednesday
02-11-2025,"21,832.00","21,871.50","21,669.50","21,786.80",2025-02-11 00:00:00,Tuesday
02-10-2025,"21,463.30","21,894.00","21,418.00","21,846.50",2025-02-10 00:00:00,Monday
02-07-2025,"21,817.80","21,968.00","21,552.80","21,590.80",2025-02-07 00:00:00,Friday
02-06-2025,"21,764.50","21,882.30","21,705.80","21,871.80",2025-02-06 00:00:00,Thursday
02-05-2025,"21,562.00","21,795.00","21,429.80","21,763.00",2025-02-05 00:00:00,Wednesday
02-04-2025,"21,592.00","21,694.00","21,242.50","21,670.30",2025-02-04 00:00:00,Tuesday
02-03-2025,"21,200.00","21,579.80","20,943.00","21,405.00",2025-02-03 00:00:00,Monday
01-31-2025,"21,680.00","21,966.00","21,533.80","21,589.30",2025-01-31 00:00:00,Friday
01-30-2025,"21,547.80","21,748.80","21,419.50","21,624.80",2025-01-30 00:00:00,Thursday
01-29-2025,"21,559.00","21,697.00","21,367.00","21,523.30",2025-01-29 00:00:00,Wednesday
